Time,Latitude,Longitude,Altitude,Angle of Attack,Angle of Sideslip,X-Acceleration,Y-Acceleration,Z-Acceleration,Thrust,True Velocity,Ground Velocity,Pitch,Roll,Yaw,Dynamic Pressure,cp,parachute_deploy_gain,Wind Speed,Mach,omega_x,omega_y,omega_z,Cmq
3.86,31.2219139815770781,131.011127938703254,147.050346717448747,0.0916539227020284897,-0.23860821994594858,-7.7129932090129989,-2.36765922618281044,-6.03617315678334077,15.9796883809551726,52.0535680782196408,28.6731971072512763,50.2271167216299261,7.68337893381214165,122.153987888250185,1636.32455853378792,15.2880000000000003,0,6.13995631988500623,0.153221023926779193,1.60585316833619638e-06,-0.249536506767809502,0.0676686714425338981,0.0339938327599405704
3.87,31.2219129283184778,131.011130684752686,147.449601132947578,0.0185479724916179957,-0.264918100207868601,-7.25549882871095786,-2.29014252310315758,-5.9666041205935274,19.7843757085937852,51.9827857864108154,28.6748232030998516,50.0802633636460968,7.7061328075457638,122.183624092382544,1631.81469135522912,15.2880000000000003,0,6.14273668749074986,0.153013365725156697,1.62597787962398301e-06,-0.249545440394144308,0.0665176526700923948,0.0339475178934597679
3.88,31.2219118748508855,131.011133430915919,147.847899840854552,-0.0539519092377202733,-0.290389109195213269,-8.32698197130531526,-2.20775964296645189,-5.88223786365537826,10.6531249226361098,51.912692230211448,28.6770755831807698,49.9335710800994335,7.72789858044794631,122.212034120288962,1627.35454923652037,15.2880000000000003,0,6.14551037326816374,0.152807731326972812,1.6440792933298518e-06,-0.249237739556365773,0.0652515886366004522,0.0338586417139452658
3.89,31.2219108212241174,131.011136177087252,148.245224232738707,-0.125683479311003127,-0.315011378518866514,-9.57632887426152557,-2.12031480474121814,-5.78147321100404987,0,51.8357191690879304,28.675120303973312,49.7872288423991662,7.74864199432215273,122.239167964454992,1622.47014328628438,15.2880000000000003,0,6.14826741015315825,0.152581843121123856,1.66012112523831851e-06,-0.248615378814708438,0.0638748483425608388,0.0337227259308136573
3.9,31.2219097675550117,131.011138923037009,148.641539356285449,-0.19645666527812311,-0.338673846666640299,-8.48238617178007281,-2.02887693128287649,-5.66747503398561392,9.13124979149582927,51.7629823166904757,28.6760557618232745,49.6414232553324055,7.7683334910913473,122.26498137166881,1617.85821609117579,15.2880000000000003,0,6.1509921203707858,0.152368420761374135,1.67408159265622345e-06,-0.24768287737910305,0.0623940113771517604,0.0335478158834303583
3.91,31.2219087136224118,131.011141669166761,149.036894266785822,-0.26609339994065212,-0.361313954113848534,-7.47646858629451039,-1.93333626074156384,-5.53996110086144622,17.5015635103767728,51.6925568382158716,28.6786417183559585,49.4963390303262614,7.78694615188908301,122.289433198834416,1613.39745541463526,15.2880000000000003,0,6.15371022490465869,0.152161798578798441,1.68591401292879178e-06,-0.246441007845164678,0.0608083178022650675,0.0333329252118512859
3.92,31.221907659418207,131.01114441548151,149.431285390859841,-0.334422610648578422,-0.382884339848037603,-6.19827133680352649,-1.83385466432352362,-5.39894138518403821,28.1546884320443951,51.6230927454250121,28.6820136649684265,49.3521599325650442,7.80445423414594508,122.312483530800407,1609.00309893602616,15.2880000000000003,0,6.15642169817161999,0.151958002832858485,1.69559269673568294e-06,-0.244893480089408866,0.0591218258515891215,0.0330778430171970519
3.93,31.2219066048963789,131.011147162057398,149.824718530140473,-0.401288740083605544,-0.403346890799206159,-7.79972583258895291,-1.73054724107241298,-5.24430722039358344,14.4578122500263468,51.5527441641494164,28.6849746497055058,49.2090670917690574,7.82083517699882957,122.334096353474834,1604.55998874573356,15.2880000000000003,0,6.15912658955855807,0.151751600029059824,1.70309394873233401e-06,-0.243043917272039472,0.057338057264206363,0.0327820437035515749
3.94,31.221905550038155,131.011149908920601,150.217192967564557,-0.466510957304074214,-0.422634960988930053,-8.76869347710544567,-1.62378156974802823,-5.07698682032560455,6.08750052628757832,51.4838080281884842,28.689002394449858,49.0672387349552537,7.83606933253491178,122.354239250648305,1600.21113734301662,15.2880000000000003,0,6.16182487677581481,0.151549351464373733,1.7084013518782486e-06,-0.240896779992047699,0.0554610805139554644,0.0324477598750872592
3.95,31.2219044948404623,131.011152656068958,150.608704437024727,-0.5299115201670761,-0.440695313633081676,-6.58355661990777463,-1.51391904081607698,-4.89785843934715537,24.3500001024325528,51.4182131871308812,28.6953577018520143,48.9268501243613372,7.85013965773514055,122.37288304608785,1596.07592567764027,15.2880000000000003,0,6.16450101748237334,0.151356935040677071,1.71150461507672081e-06,-0.238457929925397216,0.0534957571722001826,0.0320771248037556855
3.96,31.2219034391941221,131.011155403698211,150.999274451888226,-0.591411515037165825,-0.45754692418981241,-7.99850463185551508,-1.40070657896435269,-4.70548457478905213,12.1750000513348873,51.3488431964497138,28.6994023896477337,48.7880746226750901,7.86303079495690049,122.390000629393455,1591.71230941356498,15.2880000000000003,0,6.16715200366056759,0.151153402557086508,1.71238544547853332e-06,-0.235729204075578735,0.0514434751111963601,0.0316660868510629384
3.97,31.2219023832182323,131.011158151581157,151.388869927365022,-0.650796808918055025,-0.47309802934547257,-7.24991567138777437,-1.28489576753023682,-4.50166635272451376,18.2625005783577876,51.2798523406938997,28.7038272046789515,48.6510801532106782,7.87473110131090337,122.40556969596966,1587.37844981538296,15.2880000000000003,0,6.16979635394769854,0.150950982660566585,1.71105503983772795e-06,-0.232724442123662917,0.0493145231044051988,0.0312192747601964422
3.98,31.2219013268734358,131.011160899785438,151.777495983282222,-0.707927824757669577,-0.487316003243422891,-7.39986838505485345,-1.16669235988275766,-4.28674379353256629,16.7406244469700631,51.2108355790901086,28.7083577744888458,48.5160280564216606,7.88523291487582334,122.419573162370838,1583.04920518835002,15.2880000000000003,0,6.17243414149476433,0.150748483069442524,1.7075162561774253e-06,-0.229449805885757585,0.0471129152450617053,0.0307374152716653297
3.99,31.2219002700857047,131.011163648443755,152.165166103657782,-0.76263431751898525,-0.500145985551618155,-9.34912968926357379,-1.04636380777423077,-4.06155780907925035,5.50140489351935749e-09,51.1439541784642984,28.7144030248835485,48.3830765330580377,7.89453016798423945,122.431996041802904,1578.85801579329745,15.2880000000000003,0,6.17506541686949006,0.150552265925325779,1.70177358592975816e-06,-0.225910127609550204,0.0448417498353281541,0.0302225825779231863
4,31.221899212925674,131.011166397421761,152.551859903174318,-0.814870495227546732,-0.511619391808857626,-9.31489950751356766,-0.924091910108595371,-3.82547170318065355,4.01183512081182468e-09,51.0726806641546389,28.7176637812086426,48.2523784335293158,7.90261942372668802,122.442826869887753,1574.40188429093018,15.2880000000000003,0,6.1776900948471889,0.150343116295791168,1.69384656653713867e-06,-0.222119349743610806,0.0425097983523731529,0.0296729304652739653
4.01,31.2218981556323882,131.011169146274256,152.937518140201206,-0.864636055195995845,-0.521796496225676254,-9.27847855253657094,-0.800449303783515642,-3.57846933626559149,0,50.9898062931114566,28.7133604825492128,48.1240748461992709,7.90950270027301539,122.452061543210036,1569.23824454855753,15.2880000000000003,0,6.18029292807866071,0.150099813381968011,1.68378123384628404e-06,-0.218105263439221347,0.0401334145155922764,0.0290883285015843193
4.02,31.221897098360941,131.011171894712703,153.322101798039483,-0.911623915655848549,-0.53054033703856418,-9.24048399568287238,-0.676503667476681336,-3.32442440829165431,0,50.9077585089465927,28.7096708280009736,47.9982893390811043,7.91518944368658062,122.459706049185471,1564.13423125635336,15.2880000000000003,0,6.18287005504298115,0.149858939777113842,1.67163454903522056e-06,-0.213889690202102883,0.0377242474583857693,0.0284791481521250271
4.03,31.2218960411017434,131.011174642754213,153.705610696546501,-0.955734504789402806,-0.537833247589421304,-9.20100499873416844,-0.552559873590318107,-3.06395609352524856,0,50.825827059939229,28.7061106030543201,47.8751353017998227,7.91969238686719912,122.465770984487591,1559.04601746065737,15.2880000000000003,0,6.18543998250000904,0.149618404719620873,1.65745614111222916e-06,-0.209486855072515632,0.0352890398679361686,0.0278469961470755346
4.04,31.2218949838487987,131.011177390410012,154.088044065229042,-0.996876403340920758,-0.543668264990947447,-9.16016432084025922,-0.428939799940252775,-2.79783801140204424,0,50.744012450089258,28.7026703953725679,47.754717369248155,7.92302664936439349,122.470270389086906,1553.97359634805639,15.2880000000000003,0,6.18800270525436247,0.149378209704995851,1.64130121453082392e-06,-0.204911286919941565,0.032834527249301082,0.0271939196060325648
