Time,Latitude,Longitude,Altitude,Angle of Attack,Angle of Sideslip,X-Acceleration,Y-Acceleration,Z-Acceleration,Thrust,True Velocity,Ground Velocity,Pitch,Roll,Yaw,Dynamic Pressure,cp,cg,parachute_deploy_gain,Wind Speed,Wind Direction,Mach,omega_x,omega_y,omega_z,Cmq,Angle of Attack(total),Angle of Attack(gust),True Velocity(gust),Angle of Attack(total).1,Angle of Attack(gust).1,True Velocity(gust).1,Angle of Attack(total).2,Angle of Attack(gust).2,True Velocity(gust).2,Angle of Attack(total).3,Angle of Attack(gust).3,True Velocity(gust).3,Angle of Attack(total).4,Angle of Attack(gust).4,True Velocity(gust).4,Angle of Attack(total).5,Angle of Attack(gust).5,True Velocity(gust).5,Angle of Attack(total).6,Angle of Attack(gust).6,True Velocity(gust).6,Angle of Attack(total).7,Angle of Attack(gust).7,True Velocity(gust).7,Acceleration
0.67,31.222201218549035,131.01042294981153,10.283339590123472,5.588231448942029,37.557665306680335,23.860885618517727,-17.60900396257133,2.4105070315092783,289.1562440103425,30.14633361766611,9.856392616102912,69.87971612949065,5.12477814755248,126.28297883991696,556.0960164128988,1.274,1.024572383541697,0,19.70269648559885,30.000012855656493,0.0885994952389681,-0.3479336468746003,-0.0021989625578835,0.5782666139887231,0.0002057477388612,37.91038870030821,51.14300220217519,35.632369933064915,37.91038870030821,51.14300220217519,35.632369933064915,37.91038870030821,51.14300220217519,35.632369933064915,37.91038870030821,51.14300220217519,35.632369933064915,37.91038870030821,51.14300220217519,35.632369933064915,37.91038870030821,51.14300220217519,35.632369933064915,37.91038870030821,51.14300220217519,35.632369933064915,37.91038870030821,51.14300220217519,35.632369933064915,29.752805366936318
0.68,31.22220081164065,131.0104238749928,10.494462545256688,5.7207286697778565,36.86978590871301,29.23121163816796,-19.0155671494126,2.209600121202632,340.8999924858462,30.42407284392979,9.995223493488002,69.84562714329624,5.838895353658471,127.27495650680665,566.3783995095289,1.274,1.0245245285832842,0,19.769565221182635,30.0000128556565,0.0894159784575839,-0.4190631131685602,-0.0023457467450276,0.624388315156904,0.000221499324186,37.24859716648493,50.47278180948474,35.82405880261752,37.24859716648493,50.47278180948474,35.82405880261752,37.24859716648493,50.47278180948474,35.82405880261752,37.24859716648493,50.47278180948474,35.82405880261752,37.24859716648493,50.47278180948474,35.82405880261752,37.24859716648493,50.47278180948474,35.82405880261752,37.24859716648493,50.47278180948474,35.82405880261752,37.24859716648493,50.47278180948474,35.82405880261752,34.94192124862061
0.69,31.22220040062604,131.01042481325717,10.70832105925074,5.883755312797989,36.19054809599509,35.47746451581511,-20.450892292979564,1.95503843933678,401.0140726853634,30.68134762494157,10.124235893328452,69.80425351951415,6.578089806969801,128.34014212038403,575.9859919025326,1.274,1.024479631064582,0,19.836075998224423,30.000012855656493,0.09017232345106,-0.5007599531961296,-0.0025119789408537,0.6707142613930205,0.0002391968398719,36.60109428665656,49.82054697792441,35.99560046592482,36.60109428665656,49.82054697792441,35.99560046592482,36.60109428665656,49.82054697792441,35.99560046592482,36.60109428665656,49.82054697792441,35.99560046592482,36.60109428665656,49.82054697792441,35.99560046592482,36.60109428665656,49.82054697792441,35.99560046592482,36.60109428665656,49.82054697792441,35.99560046592482,36.60109428665656,49.82054697792441,35.99560046592482,40.99648349979856
0.7,31.222199985151583,131.010425764746,10.925006585585407,6.073177366240566,35.48590127323837,29.62576004669727,-21.937099906032568,1.632760726987325,349.27032420985284,30.941140005210315,10.25322915133135,69.75476282217147,7.335054926814288,129.47769074444494,585.7693503518702,1.274,1.0244351749185203,0,19.90240742074269,30.000012855656493,0.0909360742240905,-0.5945185123536318,-0.0027013858849663,0.7171824075021616,0.0002594053404732,35.934498810195606,49.14842016773406,36.16566348959394,35.934498810195606,49.14842016773406,36.16566348959394,35.934498810195606,49.14842016773406,36.16566348959394,35.934498810195606,49.14842016773406,36.16566348959394,35.934498810195606,49.14842016773406,36.16566348959394,35.934498810195606,49.14842016773406,36.16566348959394,35.934498810195606,49.14842016773406,36.16566348959394,35.934498810195606,49.14842016773406,36.16566348959394,36.8997007877209
0.71,31.22219956510588,131.01042672919417,11.14448170420411,6.28762409996689,34.737021711922885,24.146940898619835,-23.49007705372341,1.225787341350656,301.33126406340574,31.21749730187121,10.387927734602744,69.69635361274018,8.101268358002457,130.6864693699268,596.2673577484832,1.274,1.0243880468141104,0,19.96853670219212,30.000012855656493,0.0917485160616043,-0.7021270524054211,-0.0029182750754798,0.7636931516330042,0.0002827295040343,35.23101516283707,48.43507282689774,36.34579300388458,35.23101516283707,48.43507282689774,36.34579300388458,35.23101516283707,48.43507282689774,36.34579300388458,35.23101516283707,48.43507282689774,36.34579300388458,35.23101516283707,48.43507282689774,36.34579300388458,35.23101516283707,48.43507282689774,36.34579300388458,35.23101516283707,48.43507282689774,36.34579300388458,35.23101516283707,48.43507282689774,36.34579300388458,33.70995445499026
0.72,31.22219914029796,131.01042770643227,11.366743707964932,6.528782122804776,33.9394834459899,29.14333340152273,-25.11639737783149,0.7134295182091753,350.79220534145287,31.514368635564068,10.529714012866762,69.62828375953296,8.866790505285927,131.9650380091814,607.649047517792,1.274,1.024337302174265,0,20.034296803000075,30.00001285565649,0.0926212559307414,-0.8257288440355817,-0.0031677461448156,0.8101377257995513,0.0003098107871404,34.487727867120974,47.67572937884718,36.53922119779521,34.487727867120974,47.67572937884718,36.53922119779521,34.487727867120974,47.67572937884718,36.53922119779521,34.487727867120974,47.67572937884718,36.53922119779521,34.487727867120974,47.67572937884718,36.53922119779521,34.487727867120974,47.67572937884718,36.53922119779521,34.487727867120974,47.67572937884718,36.53922119779521,34.487727867120974,47.67572937884718,36.53922119779521,38.47955665897027
0.73,31.222198710525504,131.0104286962939,11.591793135593022,6.818959306735707,33.16837649589911,36.48682349741113,-26.74280799926984,0.0725054081073307,422.320318528234,31.769169389510743,10.652924496644188,69.54990329358178,9.620046346532186,133.31165371487697,617.5013833068848,1.274,1.024292465384646,0,20.099842230690825,30.000012855656493,0.093370356666699,-0.9678964343995208,-0.0034558209008375,0.8563887498353202,0.0003407102937323,33.78343923586704,46.96214170142743,36.693081100446015,33.78343923586704,46.96214170142743,36.693081100446015,33.78343923586704,46.96214170142743,36.693081100446015,33.78343923586704,46.96214170142743,36.693081100446015,33.78343923586704,46.96214170142743,36.693081100446015,33.78343923586704,46.96214170142743,36.693081100446015,33.78343923586704,46.96214170142743,36.693081100446015,33.78343923586704,46.96214170142743,36.693081100446015,45.2379412180887
0.74,31.22219827545576,131.01042969869533,11.819670814828376,7.144284162229548,32.34981743972509,22.25835417409373,-28.433144807354253,-0.7307115035306591,294.48281347105944,32.03995767391761,10.781280267065869,69.4606982568637,10.347499897045788,134.72420468230305,628.0591948354967,1.274,1.0242470321640116,0,20.16518200337916,30.000012855656493,0.0941664520695172,-1.1317036045359952,-0.0037895698748897,0.9022830481739758,0.0003767909969142,33.045478668886226,46.208044256003255,36.85574143150615,33.045478668886226,46.208044256003255,36.85574143150615,33.045478668886226,46.208044256003255,36.85574143150615,33.045478668886226,46.208044256003255,36.85574143150615,33.045478668886226,46.208044256003255,36.85574143150615,33.045478668886226,46.208044256003255,36.85574143150615,33.045478668886226,46.208044256003255,36.85574143150615,33.045478668886226,46.208044256003255,36.85574143150615,36.116644272091
0.75,31.22219783541852,131.0104307127325,12.0501297311731,7.509936248536707,31.488404410914463,25.657132259218407,-30.17800634060824,-1.735215235073492,330.24688556441487,32.32227350325421,10.912680425390302,69.36033642377176,11.033383916189772,136.20025450920252,639.1619324406689,1.274,1.0241984712898409,0,20.23021941564567,30.000012855656493,0.0949964342400729,-1.320826703338494,-0.0041771363484054,0.9475766393101798,0.0004189764428973,32.281833412440754,45.42088725921443,37.02320746428577,32.281833412440754,45.42088725921443,37.02320746428577,32.281833412440754,45.42088725921443,37.02320746428577,32.281833412440754,45.42088725921443,37.02320746428577,32.281833412440754,45.42088725921443,37.02320746428577,32.281833412440754,45.42088725921443,37.02320746428577,32.281833412440754,45.42088725921443,37.02320746428577,32.281833412440754,45.42088725921443,37.02320746428577,39.64859990432005
0.76,31.22219739000052,131.0104317383955,12.283242649689896,7.928587904491534,30.60921728803736,27.20543913228977,-31.936444697562308,-2.98889890788429,349.27032420986166,32.58992452662984,11.036728862166148,69.24872475669936,11.6593214063894,137.737030214236,649.7766292335599,1.274,1.0241522053390697,0,20.294865883661856,30.000012855656493,0.0957833230411062,-1.5396504500928572,-0.0046283538947747,0.9920313411274851,0.0004680683160033,31.52272398563566,44.63570624322208,37.172543432906274,31.52272398563566,44.63570624322208,37.172543432906274,31.52272398563566,44.63570624322208,37.172543432906274,31.52272398563566,44.63570624322208,37.172543432906274,31.52272398563566,44.63570624322208,37.172543432906274,31.52272398563566,44.63570624322208,37.172543432906274,31.52272398563566,44.63570624322208,37.172543432906274,31.52272398563566,44.63570624322208,37.172543432906274,42.05955224420168
