time,thrust
0.207,429.929657
0.208,394.926544
0.209,401.014038
0.21,404.818726
0.211,437.539032
0.212,461.889038
0.213,461.889038
0.214,486.239044
0.215,495.37027
0.216,557.006226
0.217,568.420288
0.218,558.528076
0.219,515.154663
0.22,472.542145
0.221,452.757782
0.222,426.885925
0.223,452.757782
0.224,494.609344
0.225,487.760895
0.226,415.471863
0.227,346.226532
0.228,357.640594
0.229,313.506226
0.23,406.340607
0.231,462.649963
0.232,483.195282
0.233,483.195282
0.234,436.778107
0.235,376.664032
0.236,391.882782
0.237,432.212463
0.238,438.299988
0.239,437.539032
0.24,416.232788
0.241,429.168732
0.242,434.4953
0.243,435.256226
0.244,424.603088
0.245,417.754669
0.246,388.078094
0.247,401.014038
0.248,432.973419
0.249,436.017151
0.25,425.364044
0.251,411.667175
0.252,376.664032
0.253,346.226532
0.254,341.660919
0.255,363.728088
0.256,414.710907
0.257,440.582794
0.258,461.128082
0.259,464.171844
0.26,455.801544
0.261,476.346832
0.262,442.865601
0.263,418.515594
0.264,410.145294
0.265,438.299988
0.266,443.626526
0.267,470.259338
0.268,467.215607
0.269,451.235901
0.27,423.842163
0.271,407.101532
0.272,396.448425
0.273,396.448425
0.274,379.707794
0.275,430.690613
0.276,428.407776
0.277,404.818726
0.278,421.559357
0.279,460.367157
0.28,476.346832
0.281,471.020294
0.282,473.303101
0.283,427.646851
0.284,419.27655
0.285,388.078094
0.286,387.317169
0.287,395.687469
0.288,357.640594
0.289,375.903107
0.29,397.970276
0.291,414.710907
0.292,430.690613
0.293,423.842163
0.294,455.801544
0.295,439.821838
0.296,445.148407
0.297,436.017151
0.298,413.949982
0.299,388.83905
0.3,378.185913
0.301,356.118713
0.302,337.856232
0.303,376.664032
0.304,377.424988
0.305,399.492157
0.306,423.081238
0.307,413.949982
0.308,432.973419
0.309,423.842163
0.31,394.165588
0.311,378.185913
0.312,381.229675
0.313,362.206238
0.314,375.142151
0.315,384.273407
0.316,375.903107
0.317,359.162476
0.318,389.599976
0.319,417.754669
0.32,421.559357
0.321,426.124969
0.322,430.690613
0.323,397.970276
0.324,384.273407
0.325,342.421844
0.326,350.031219
0.327,346.226532
0.328,346.226532
0.329,362.967163
0.33,418.515594
0.331,463.410919
0.332,465.693726
0.333,464.93277
0.334,468.737457
0.335,429.168732
0.336,400.253113
0.337,389.599976
0.338,358.40155
0.339,362.206238
0.34,345.465607
0.341,327.96405
0.342,351.553101
0.343,377.424988
0.344,418.515594
0.345,428.407776
0.346,461.889038
0.347,447.431213
0.348,432.212463
0.349,408.623413
0.35,370.576538
0.351,348.509338
0.352,341.660919
0.353,361.445282
0.354,375.142151
